"Income","AppliedOnline","Purpose","YearsAtCurrentAddress","YearsCurrentEmployer","NumberOfCards","CreditDebidCard","Loans","LoanAmount","Default"
43593,"YES","Owner Occupier",13,0,1,2315,0,12820,"NO"
45706,"YES","Owner Occupier",17,16,2,373,1,7275,"YES"
44756,"YES","Owner Occupier",19,6,1,2117,1,10760,"NO"
44202,"YES","Owner Occupier",8,0,2,748,0,10455,"NO"
45715,"YES","Owner Occupier",8,14,2,772,1,12985,"NO"
43800,"YES","Owner Occupier",0,4,2,725,0,7340,"NO"
45049,"YES","Public Housing",6,16,2,1345,1,9085,"NO"
44974,"YES","Public Housing",14,18,2,2772,0,9515,"NO"
44956,"NO","Owner Occupier",21,21,2,806,1,8150,"YES"
56087,"NO","Public Housing",27,18,1,4818,1,8910,"NO"
48336,"NO","Owner Occupier",16,2,2,1227,0,3705,"YES"
55642,"YES","Private Renting",4,22,2,240,0,5925,"NO"
52725,"YES","Private Renting",26,9,2,12,0,4415,"NO"
43795,"YES","Public Housing",17,5,2,1171,0,11285,"YES"
43650,"YES","Public Housing",8,12,1,267,0,7800,"NO"
43972,"YES","Private Renting",0,13,1,340,1,7410,"YES"
43330,"YES","Owner Occupier",9,6,1,25,1,9630,"NO"
59193,"YES","Owner Occupier",26,0,2,2295,1,7350,"NO"
44483,"NO","Owner Occupier",16,15,2,116,0,7535,"YES"
43185,"YES","Owner Occupier",1,9,2,1646,0,8125,"NO"
50295,"NO","Owner Occupier",3,12,1,298,0,6140,"NO"
46955,"NO","Owner Occupier",16,1,2,201,1,3380,"YES"
51383,"NO","Owner Occupier",19,12,2,1119,1,7955,"NO"
52540,"YES","Sheltered",0,15,2,397,0,8250,"YES"
55897,"NO","Private Renting",13,2,2,315,0,9690,"NO"
44781,"YES","Owner Occupier",15,4,1,331,0,10165,"NO"
45217,"YES","Private Renting",19,8,1,732,0,5860,"YES"
44895,"YES","Owner Occupier",8,0,2,888,1,8915,"YES"
45209,"YES","Owner Occupier",4,9,2,658,0,11420,"YES"
45813,"NO","Owner Occupier",10,13,1,59,0,7385,"YES"
43202,"YES","Owner Occupier",17,7,1,1412,1,8925,"NO"
45687,"YES","Public Housing",22,16,2,1064,1,8465,"NO"
49745,"NO","Private Renting",24,6,1,518,1,5915,"NO"
53552,"YES","Owner Occupier",19,22,2,1255,1,4430,"YES"
52118,"YES","Private Renting",17,22,2,2771,1,8390,"YES"
55554,"YES","Public Housing",27,0,1,708,0,8615,"NO"
54792,"YES","Owner Occupier",22,17,1,1223,0,6915,"YES"
52973,"NO","Public Housing",13,3,1,2535,0,9365,"YES"
52961,"YES","Public Housing",17,4,1,1853,1,11950,"YES"
43908,"NO","Public Housing",18,15,1,4242,0,7915,"NO"
57718,"YES","Owner Occupier",25,16,2,1555,1,6285,"YES"
44052,"YES","Owner Occupier",13,5,2,375,0,9305,"YES"
44613,"NO","Public Housing",17,11,2,2134,0,4215,"YES"
44193,"YES","Public Housing",18,3,1,260,0,6605,"NO"
45115,"YES","Private Renting",11,13,2,5189,1,16935,"NO"
43645,"YES","Owner Occupier",5,13,2,502,0,4600,"NO"
43474,"YES","Living with parents/guardian",17,1,1,270,1,5315,"NO"
43322,"YES","Private Renting",15,6,2,218,1,6940,"NO"
49678,"YES","Owner Occupier",11,8,2,564,0,7195,"NO"
56849,"YES","Owner Occupier",4,4,1,117,1,5725,"NO"
50808,"NO","Private Renting",19,18,2,457,0,7775,"YES"
58505,"YES","Owner Occupier",11,9,2,668,0,5370,"NO"
51945,"NO","Public Housing",19,0,1,25,1,7480,"YES"
49075,"NO","Owner Occupier",7,16,2,133,0,4900,"YES"
56087,"YES","Private Renting",14,16,2,1386,1,9100,"NO"
53115,"YES","Owner Occupier",12,1,2,674,0,10455,"YES"
49008,"YES","Private Renting",10,16,2,216,0,10910,"NO"
54013,"YES","Private Renting",9,4,1,996,0,11105,"NO"
53195,"NO","Owner Occupier",8,31,2,7757,1,13645,"NO"
52896,"YES","Owner Occupier",19,6,2,1655,1,8975,"YES"
54603,"NO","Owner Occupier",8,30,2,1562,1,7760,"NO"
48511,"NO","Owner Occupier",21,25,1,793,0,9550,"NO"
59036,"YES","Owner Occupier",7,6,1,495,1,8915,"YES"
53559,"YES","Owner Occupier",7,19,2,2646,0,10105,"NO"
44997,"NO","Public Housing",6,18,1,1238,1,8070,"NO"
44442,"YES","Private Renting",12,16,1,578,0,7600,"YES"
44187,"YES","Owner Occupier",19,3,1,693,0,9310,"NO"
44617,"NO","Owner Occupier",4,10,2,154,1,925,"YES"
44684,"YES","Owner Occupier",6,9,1,194,1,3965,"NO"
44831,"YES","Owner Occupier",15,2,1,1597,1,8790,"YES"
43482,"YES","Owner Occupier",4,1,1,361,1,8375,"NO"
43989,"YES","Owner Occupier",8,10,1,30,1,5805,"NO"
43957,"NO","Public Housing",18,13,2,286,1,7810,"NO"
47833,"YES","Owner Occupier",9,6,1,854,0,12920,"NO"
56891,"NO","Owner Occupier",26,1,1,1543,1,5545,"NO"
58026,"YES","Living with parents/guardian",17,13,1,6156,0,15905,"YES"
53791,"YES","Owner Occupier",1,15,1,1844,1,11855,"YES"
59463,"NO","Owner Occupier",2,9,2,1298,1,4765,"NO"
44159,"YES","Public Housing",6,4,1,1110,0,7735,"YES"
59508,"YES","Owner Occupier",2,19,1,3671,1,10595,"NO"
51219,"YES","Private Renting",14,15,2,1292,1,7005,"YES"
56486,"YES","Owner Occupier",5,11,1,696,1,4240,"NO"
47623,"NO","Private Renting",23,7,1,784,1,8630,"NO"
49007,"NO","Living with parents/guardian",14,18,1,13360,0,24375,"NO"
43895,"YES","Owner Occupier",7,18,1,446,1,9085,"NO"
55497,"YES","Owner Occupier",7,3,1,637,1,8980,"YES"
45066,"YES","Private Renting",16,15,1,860,1,6605,"YES"
44202,"NO","Owner Occupier",1,23,2,2611,0,12915,"NO"
45518,"YES","Private Renting",17,22,1,8231,1,16485,"NO"
43890,"YES","Owner Occupier",19,18,2,505,1,6960,"NO"
44772,"YES","Owner Occupier",9,6,1,469,0,7950,"NO"
44271,"YES","Private Renting",17,20,1,284,1,6185,"YES"
43874,"NO","Owner Occupier",18,0,2,1320,1,10295,"YES"
43888,"YES","Owner Occupier",16,21,1,3820,1,7240,"YES"
44194,"YES","Private Renting",16,2,2,1007,1,8550,"YES"
53201,"NO","Owner Occupier",18,29,1,17134,0,16275,"NO"
45238,"YES","Owner Occupier",9,6,2,326,1,5515,"YES"
54673,"YES","Owner Occupier",15,22,2,3086,1,11875,"NO"
46949,"YES","Public Housing",0,2,2,1634,1,9720,"NO"
57689,"NO","Owner Occupier",25,19,1,331,1,9915,"YES"
45869,"YES","Private Renting",21,8,2,71,1,9240,"YES"
43799,"YES","Private Renting",11,4,1,145,0,8810,"NO"
47026,"NO","Private Renting",23,18,2,1368,0,6955,"NO"
46645,"NO","Owner Occupier",19,4,1,884,0,6045,"NO"
44048,"NO","Owner Occupier",0,6,1,222,0,10155,"NO"
45970,"NO","Owner Occupier",11,7,1,579,0,9280,"NO"
45949,"NO","Private Renting",17,7,1,3865,0,13010,"YES"
45659,"YES","Public Housing",12,17,1,9466,1,17050,"NO"
43750,"NO","Private Renting",13,6,1,988,1,7060,"NO"
44318,"YES","Owner Occupier",8,19,1,2096,0,9240,"NO"
43761,"NO","Owner Occupier",10,6,1,1418,0,11245,"NO"
45673,"YES","Owner Occupier",22,16,1,359,0,6670,"NO"
